Subject,AWC,hour
11037.0,-1,20
11037.0,-1,21
11037.0,-1,22
11037.0,-1,23
11070.0,4674.0,12
11070.0,3579.0,17
11070.0,2762.0,8
11070.0,2567.0,13
11070.0,2341.0,19
11070.0,1616.0,9
11070.0,1557.0,18
11070.0,1466.0,20
11070.0,1404.0,11
11070.0,1311.0,16
11070.0,1080.0,10
11070.0,931.0,7
11070.0,45.0,21
11070.0,-1,0
11070.0,-1,1
11070.0,-1,2
11070.0,-1,3
11070.0,-1,4
11070.0,-1,5
11070.0,-1,6
11070.0,-1,14
11070.0,-1,15
11070.0,-1,22
11070.0,-1,23
11136.0,3502.0,18
11136.0,2986.0,10
11136.0,2838.0,9
11136.0,2271.0,8
11136.0,1986.0,17
11136.0,1502.0,14
11136.0,865.0,7
11136.0,504.0,15
11136.0,446.0,16
11136.0,431.0,19
11136.0,361.0,13
11136.0,271.0,11
11136.0,-1,0
11136.0,-1,1
11136.0,-1,2
11136.0,-1,3
11136.0,-1,4
11136.0,-1,5
11136.0,-1,6
11136.0,-1,12
11136.0,-1,20
11136.0,-1,21
11136.0,-1,22
11136.0,-1,23
11141.0,1578.0,13
11141.0,1481.0,19
11141.0,1358.0,16
11141.0,1246.0,10
11141.0,1226.0,18
11141.0,1138.0,17
11141.0,953.0,12
11141.0,866.0,14
11141.0,692.0,15
11141.0,590.0,9
11141.0,555.0,8
11141.0,-1,0
11141.0,-1,1
11141.0,-1,2
11141.0,-1,3
11141.0,-1,4
11141.0,-1,5
11141.0,-1,6
11141.0,-1,7
11141.0,-1,11
11141.0,-1,20
11141.0,-1,21
11141.0,-1,22
11141.0,-1,23
11200.0,515.0,7
11200.0,482.0,17
11200.0,470.0,6
11200.0,362.0,11
11200.0,292.0,10
11200.0,254.0,8
11200.0,215.0,12
11200.0,83.0,13
11200.0,47.0,16
11200.0,18.0,18
11200.0,-1,0
11200.0,-1,1
11200.0,-1,2
11200.0,-1,3
11200.0,-1,4
11200.0,-1,5
11200.0,-1,9
11200.0,-1,14
11200.0,-1,15
11200.0,-1,19
11200.0,-1,20
11200.0,-1,21
11200.0,-1,22
11200.0,-1,23
11327.0,2414.0,19
11327.0,2028.0,10
11327.0,1736.0,9
11327.0,1707.0,16
11327.0,1471.0,11
11327.0,1194.0,21
11327.0,1142.0,12
11327.0,962.0,15
11327.0,795.0,13
11327.0,758.0,20
11327.0,545.0,17
11327.0,160.0,18
