SUBJECT,hour_bin,unclean_total_awc,unclean_total_ctc,unclean_total_cvc,unclean_total_hrs,clean_total_awc,clean_total_ctc,clean_total_cvc,clean_total_hrs
196,12,1446,32,93,1.4847222222222223,1396,24,73,1.1666666666666667
196,13,1143,38,108,1.3463888888888889,1125,35,102,1.0963888888888889
196,15,2038,70,229,1.258888888888889,2038,70,229,1.258888888888889
196,16,3475,112,352,2,3475,112,352,2
196,17,3588,104,219,1.0719444444444444,3588,104,219,1.0719444444444444
196,8,122,7,23,0.24222222222222223,122,7,23,0.24222222222222223
196,14,1095,31,93,2.191666666666667,939,24,78,1.025
197,14,662,35,246,1.003611111111111,662,35,246,1.003611111111111
197,8,405,20,79,0.6883333333333334,405,20,79,0.6883333333333334
197,9,867,48,289,2,867,48,289,1.8333333333333333
197,10,559,37,309,2,559,37,258,1.5833333333333333
197,11,644,45,341,2,644,45,341,2
197,12,628,32,391,2.1919444444444443,628,32,342,1.8586111111111112
197,13,839,44,241,1.4644444444444444,839,44,241,1.4644444444444444
197,17,39,3,43,0.35694444444444445,39,3,43,0.35694444444444445
197,18,772,37,215,1,772,37,215,1
197,19,1040,35,142,1,1040,35,142,1
197,20,1134,35,96,0.8280555555555555,1134,35,96,0.8280555555555555
197,15,830,35,171,1,830,35,171,1
197,16,296,7,56,0.4666666666666667,296,7,56,0.4666666666666667
202,18,836,54,270,1.0033333333333334,836,54,270,1.0033333333333334
202,13,84,2,30,1.0452777777777778,84,2,24,0.5452777777777778
202,14,1445,18,107,2,1445,18,103,1.8333333333333333
202,15,1150,31,109,2,1150,31,109,1.75
202,16,1277,32,95,1.6483333333333334,1268,32,91,1.315
202,7,346,7,35,0.65,346,7,35,0.4
202,8,159,2,15,1,159,2,13,0.8333333333333334
202,9,372,1,6,1,372,1,6,1
202,10,963,18,73,1,829,15,49,0.75
202,12,415,16,68,1,291,16,49,0.5
202,17,409,13,92,1,409,13,92,1
202,19,13,0,0,0.019166666666666665,13,0,0,0.019166666666666665
203,11,1274,78,258,1.003611111111111,1274,78,258,1.003611111111111
203,13,1854,65,250,0.9275,1854,65,250,0.9275
203,14,1749,168,406,0.7616666666666667,1749,168,406,0.7616666666666667
203,10,1541,72,151,0.7194444444444444,1541,72,151,0.7194444444444444
203,12,150,8,40,0.13277777777777777,150,8,40,0.13277777777777777
203,15,1025,60,354,1,1025,60,354,1
203,16,1005,88,336,1,1005,88,336,1
203,17,1547,60,194,0.9575,1547,60,194,0.9575
210,8,1945,84,197,0.6025,1846,82,195,0.5833333333333334
210,9,1834,139,526,1,1834,139,526,1
210,10,1575,135,585,1,1575,135,585,1
210,11,548,69,660,1,548,69,660,1
210,12,723,62,590,1,723,62,590,1
210,13,321,42,201,1,321,42,200,0.3333333333333333
210,14,232,12,30,1,232,12,28,0.08333333333333333
210,15,971,78,261,1,971,78,261,1
210,16,1523,71,301,1,1523,71,301,1
210,17,1917,95,305,1,1917,95,305,1
210,18,1035,75,290,1,1035,75,290,1
210,19,2091,130,488,1,2091,130,488,1
210,20,2300,116,286,1,2189,110,260,0.75
215,10,352,29,363,1.4691666666666667,352,29,363,1.4691666666666667
215,11,415,25,163,1.0361111111111112,415,25,154,0.8694444444444445
215,13,111,11,39,0.37833333333333335,111,11,39,0.37833333333333335
215,14,72,4,81,1,72,4,75,0.75
215,15,81,3,27,0.1475,81,3,27,0.1475
215,18,363,23,174,0.6611111111111111,363,23,174,0.6611111111111111
215,19,1338,49,229,0.8677777777777778,1338,49,229,0.8677777777777778
215,9,43,2,106,0.4411111111111111,43,2,106,0.4411111111111111
230,8,176,10,22,0.08888888888888889,176,10,22,0.08333333333333333
230,9,1157,42,112,1,1157,42,112,1
230,10,393,18,173,1,393,18,173,1
230,11,323,8,73,1.0030555555555556,282,8,62,0.5
230,12,410,11,25,1,366,8,17,0.25
230,13,1027,48,208,1,1027,48,208,1
230,14,685,29,261,1,685,29,227,0.8333333333333334
230,15,874,13,60,1,719,9,36,0.5
230,16,231,7,20,1,123,4,6,0.08333333333333333
230,17,839,26,65,1,839,26,64,0.5
230,18,1174,32,159,1,1174,32,159,1
230,19,132,7,15,0.1288888888888889,132,7,15,0.1288888888888889
231,8,338,13,22,0.11638888888888889,338,13,22,0.11638888888888889
231,9,3377,142,247,1,3377,142,247,1
231,10,1976,73,216,1.0022222222222221,1956,73,216,1
231,11,635,4,7,1,635,4,6,0.8333333333333334
231,12,1119,35,66,1,1082,33,61,0.4166666666666667
231,13,476,24,64,1,476,24,45,0.16666666666666666
231,14,1431,73,321,1,1431,73,321,1
231,15,2252,126,368,1,2252,126,368,1
231,16,448,39,200,1,448,39,190,0.8333333333333334
231,17,1398,97,343,1,1398,97,343,1
231,18,769,60,235,1,769,60,235,1
231,19,3470,180,400,1,3470,180,400,1
231,20,811,30,83,0.3933333333333333,811,30,83,0.3933333333333333
232,7,77,0,0,0.041666666666666664,77,0,0,0.041666666666666664
232,8,1023,30,68,1,986,30,68,0.6666666666666666
232,10,1387,53,126,1,1373,52,125,0.75
232,11,1872,44,95,1,1872,44,95,1
232,12,508,17,107,1,508,17,107,1
232,13,402,17,63,1.006388888888889,307,17,60,0.5
232,15,342,20,52,1,342,20,52,0.4166666666666667
232,16,512,26,107,1,512,26,107,1
232,17,569,25,62,1,569,25,62,1
232,18,1313,57,189,1,1313,57,189,1
232,19,612,35,263,1,612,35,263,1
232,20,1084,70,261,1,1084,70,261,1
232,21,234,5,14,0.3402777777777778,228,5,14,0.3333333333333333
241,12,499,7,15,0.7655555555555555,499,7,10,0.5988888888888889
241,13,685,20,65,1,685,20,64,0.9166666666666666
241,14,518,3,33,1.0025,483,3,33,1
241,15,126,0,12,1,97,0,12,0.4166666666666667
241,17,326,8,20,1,326,8,20,0.4166666666666667
241,18,1848,17,34,0.9569444444444445,1848,17,34,0.9569444444444445
248,14,1132,64,342,1.0025,1132,64,342,1.0025
248,10,798,73,404,0.9516666666666667,798,73,404,0.9516666666666667
248,11,1193,56,317,1,1193,56,317,1
248,12,1092,59,371,1,1092,59,371,1
248,13,1581,75,341,1,1581,75,341,1
248,15,605,8,42,1,176,3,23,0.16666666666666666
248,17,0,0,2,0.24027777777777778,0,0,2,0.07361111111111111
259,17,110,2,20,0.0661111111111111,110,2,20,0.0661111111111111
259,12,140,3,20,0.16527777777777777,140,3,20,0.16527777777777777
259,13,334,15,192,1,334,15,192,1
259,14,545,24,184,1,545,24,184,1
259,15,514,22,150,1,514,22,150,1
259,16,560,24,135,0.7930555555555555,560,24,135,0.7930555555555555
259,20,421,26,124,1,405,25,113,0.5833333333333334
259,21,216,10,120,1,216,10,120,1
259,22,1161,65,351,1,1161,65,351,1
259,23,1694,64,197,1,1694,64,197,1
259,NA,370,17,61,0.36666666666666664,370,17,61,0.36666666666666664
260,7,348,23,85,0.4486111111111111,346,23,84,0.4166666666666667
260,8,643,50,256,1,643,50,256,1
260,9,668,35,130,1,668,35,130,1
260,10,88,6,55,1,74,4,47,0.4166666666666667
260,12,9,1,20,1,9,1,5,0.08333333333333333
260,13,276,30,242,1,276,30,218,0.75
260,15,506,16,82,0.6494444444444445,501,16,70,0.5661111111111111
260,16,426,8,107,1.0025,414,8,107,1
260,17,339,9,109,1,339,9,109,1
260,18,83,1,37,1,83,1,30,0.75
260,19,276,21,104,1,276,21,86,0.8333333333333334
260,20,833,55,111,0.6261111111111111,361,31,71,0.16666666666666666
261,7,156,9,33,0.6894444444444444,156,9,32,0.4166666666666667
261,8,1160,92,296,1,1160,92,296,1
261,9,1071,90,550,1,1071,90,550,1
261,10,353,15,48,1,261,14,41,0.08333333333333333
261,11,259,17,77,1,184,14,71,0.5
261,12,480,34,280,1,480,34,280,1
261,13,862,63,358,1,862,63,347,0.8333333333333334
261,14,750,41,237,1.0025,716,41,237,1
261,15,316,26,160,1,260,19,107,0.6666666666666666
261,17,22,0,0,0.71,22,0,0,0.043333333333333335
266,6,278,13,34,0.1461111111111111,141,8,28,0.08333333333333333
266,7,795,37,129,1,795,37,129,1
266,8,258,3,12,1,210,3,12,0.5
266,9,1374,17,60,1,1374,17,60,0.9166666666666666
266,10,1357,74,173,1,1357,74,173,1
266,11,1486,103,252,1,1318,87,229,0.8333333333333334
266,13,998,43,102,1,902,43,98,0.5833333333333334
266,14,713,38,200,1,713,38,200,1
266,15,1174,47,184,1,1174,47,184,1
266,16,742,16,70,0.9166666666666666,742,16,65,0.75
266,17,1075,69,297,1,1075,69,297,1
