SUBJECT,prop,hour
261.0,0.543,12
261.0,0.996,10
261.0,0.707,15
261.0,0.847,11
261.0,0.141,7
266.0,0.965,18
266.0,0.796,19
266.0,0.987,9
266.0,0.971,10
266.0,0.927,11
266.0,0.959,20
266.0,0.915,15
266.0,0.839,17
266.0,0.881,13
266.0,0.94,7
266.0,0.953,16
266.0,0.294,14
266.0,0.671,8
271.0,0.847,13
271.0,0.867,12
271.0,0.466,14
271.0,0.146,9
272.0,0.648,23
272.0,0.683,21
272.0,0.939,11
272.0,0.685,22
272.0,0.91,14
272.0,0.685,13
272.0,0.64,15
272.0,0.98,18
272.0,0.914,12
272.0,0.682,17
272.0,0.05,16
272.0,0.461,20
276.0,0.884,14
276.0,0.778,16
276.0,0.817,15
276.0,0.218,13
277.0,0.765,10
277.0,0.899,13
277.0,0.966,11
277.0,0.712,12
277.0,0.569,14
277.0,0.722,15
277.0,0.337,16
279.0,0.854,14
279.0,0.68,13
279.0,0.557,12
279.0,0.943,17
279.0,0.395,11
279.0,0.116,18
282.0,0.741,16
282.0,0.971,19
282.0,0.908,20
282.0,0.72,10
282.0,0.969,13
282.0,0.986,9
282.0,0.843,14
282.0,0.482,17
282.0,0.18,15
282.0,0.54,11
282.0,0.15,18
283.0,0.958,14
283.0,0.799,15
283.0,0.908,16
283.0,0.731,13
283.0,0.952,9
283.0,0.686,10
283.0,0.865,17
283.0,0.833,11
283.0,0.282,18
283.0,0.337,12
300.0,0.905,8
300.0,0.983,17
300.0,0.857,14
300.0,0.929,16
300.0,0.813,18
300.0,0.753,13
300.0,0.816,15
300.0,0.863,12
300.0,0.649,9
300.0,0.987,19
300.0,0.966,11
300.0,0.946,10
302.0,0.642,16
302.0,0.436,17
302.0,0.648,11
302.0,0.938,15
302.0,0.442,10
302.0,0.174,12
304.0,0.879,10
304.0,0.928,9
304.0,0.624,11
304.0,0.711,14
304.0,0.926,15
304.0,0.866,13
304.0,0.607,12
304.0,0.688,8
304.0,0.066,16
307.0,0.604,20
307.0,0.733,19
307.0,0.349,17
307.0,0.693,18
308.0,0.806,14
308.0,0.47,12
308.0,0.914,11
308.0,0.928,16
308.0,0.999,18
308.0,0.801,13
308.0,0.327,15
308.0,0.745,17
308.0,0.925,19
309.0,0.482,11
309.0,0.756,15
309.0,0.945,14
309.0,0.981,16
309.0,0.965,13
309.0,0.786,9
309.0,0.836,10
310.0,0.832,10
310.0,0.585,11
310.0,0.616,12
310.0,0.96,18
310.0,0.895,9
310.0,0.971,19
310.0,0.95,16
310.0,0.734,20
310.0,0.937,17
310.0,0.572,15
310.0,0.271,21
311.0,0.703,12
311.0,0.985,18
311.0,0.947,17
311.0,0.98,21
311.0,0.823,13
311.0,0.903,15
311.0,0.98,22
311.0,0.876,20
311.0,0.755,14
311.0,0.603,19
312.0,0.948,22
312.0,0.601,11
312.0,0.726,13
312.0,0.962,17
312.0,0.683,21
312.0,0.571,15
312.0,0.866,14
313.0,0.992,16
313.0,0.957,17
313.0,0.752,13
313.0,0.764,14
313.0,0.626,15
313.0,0.773,12
313.0,0.576,10
313.0,0.048,11
320.0,0.821,12
320.0,0.981,17
320.0,0.758,13
320.0,0.545,18
320.0,0.272,11
320.0,1.0,16
320.0,0.628,19
320.0,0.045,15
330.0,0.658,11
330.0,0.832,12
330.0,0.937,17
330.0,0.75,10
330.0,0.628,18
330.0,0.369,16
332.0,0.519,15
332.0,0.919,16
332.0,0.968,11
332.0,0.825,9
332.0,0.814,10
332.0,0.829,13
334.0,0.488,20
334.0,0.712,21
334.0,0.938,15
334.0,0.865,18
334.0,0.768,19
334.0,0.81,23
334.0,0.992,16
334.0,0.857,22
334.0,0.83,17
334.0,0.425,0
335.0,0.764,11
335.0,0.742,15
335.0,0.713,12
335.0,0.873,10
335.0,0.97,19
335.0,0.971,18
335.0,0.951,17
335.0,0.854,16
335.0,0.768,20
335.0,0.959,13
335.0,0.57,9
336.0,0.705,14
336.0,0.79,15
336.0,0.703,18
336.0,0.617,17
336.0,0.608,16
336.0,0.845,21
336.0,0.475,11
336.0,0.916,13
338.0,0.692,11
338.0,0.983,13
338.0,0.8,16
338.0,0.956,10
338.0,0.925,15
338.0,0.881,17
338.0,0.923,19
338.0,0.999,14
338.0,0.542,12
338.0,0.557,20
338.0,0.792,18
344.0,0.861,15
344.0,0.943,13
344.0,0.87,19
344.0,0.946,7
344.0,0.87,14
345.0,0.978,23
421.0,0.874,18
