SUBJECT,nclusters,avgClustersize,avgClusterDensity,clean_total_hrs,clean_mean_awc,clean_sd_awc,clusterPerHr,avgClusterDensityPerHr,MOM_YRS_EDU,CDI_18C18C_WG,ACC_1818,RT18A18C_NO1RT,gini
12971,6,1.5,65.60000000000001,4.666666666666667,184.7142857142857,101.11711301977795,1.2857142857142856,14.057142857142859,16,198,0.58,829.67,0.41757000807861416
13044,5,1.8,71.72415584415583,6.938055555555556,214.7317454135727,99.45784452132669,0.7206630099691717,10.33778920762946,16,98,0.59,743.91,0.2156667232627191
13061,8,1.5,139.375,5.916666666666667,645.8028169014084,197.36396389012927,1.352112676056338,23.556338028169012,16,4,0.75,535.68,0.09098654698727905
13069,7,1.4285714285714286,65.48571428571428,7.416666666666667,239.16404494382022,84.94029879258936,0.9438202247191011,8.829534510433385,13,43,0.58,933.25,0.2335951129284574
13079,5,1.8,93.00000000000001,7.333333333333333,387.08181818181816,172.0748462944911,0.6818181818181819,12.681818181818183,17,93,0.71,886.94,0.15675029838239488
13081,7,1.5714285714285714,88.65714285714284,7.978055555555556,363.3900116600006,137.20712132105777,0.8774067755300999,11.11262540599959,18,306,0.7,759.35,0.13752087398353458
13128,3,2.3333333333333335,137.66666666666666,5.180555555555555,426.8752300791761,166.5033742638814,0.579088471849866,26.573726541554958,18,39,0.7,846.28,0.09948114822294785
13131,4,1.75,31,6.583333333333333,78.25822784810126,23.61487974677291,0.6075949367088608,4.708860759493671,14,12,0.41,966.5,0.1774193538371488
13142,9,1.4444444444444444,75.71111111111111,7.989166666666667,364.77845358117855,155.26340348188626,1.1265255032856993,9.476721949862661,17,60,0.7,694.39,0.13429364856634948
13151,5,1.6,118.64000000000001,4.860277777777778,409.137024373545,127.80494023131725,1.0287477853346287,24.410127450420074,16,18,0.76,483.29,0.2664362774559187
13191,7,1.5714285714285714,85.48571428571428,7.048333333333333,310.8565650965012,104.14986794585981,0.9931425868999764,12.128500489815222,18,15,0.61,804.95,0.12384540570331039
13293,7,1.4285714285714286,132.0285714285714,6.864166666666667,555.4188156340133,295.54096561788486,1.0197887580429768,19.234464697618755,18,250,0.59,572.52,0.11930318100053758
13304,6,1.6666666666666667,82.93333333333332,5.796111111111111,260.076749055072,100.61100693742233,1.0351768427106298,14.308444359244703,18,23,0.74,509.75,0.24453376156645146
13326,5,1.8,37.24,5.25,99.88571428571429,23.855092842943506,0.9523809523809523,7.093333333333334,18,10,0.69,568.65,0.3126864765886381
13503,4,1.75,101.69999999999999,6.416666666666667,375.77142857142854,133.65933177184812,0.6233766233766234,15.849350649350647,18,112,0.64,750.63,0.11701081592451429
13604,5,1.6,33.8,4,110.75,30.90577076642268,1.25,8.45,16,50,0.37,863.64,0.2563609455320192
13628,1,4,130,2.9166666666666665,218.26285714285717,58.41080501805418,0.34285714285714286,44.57142857142858,12,12,0.71,499.94,0.0992307689254438
13648,8,1.75,129.7,8.314166666666667,333.8626373125722,145.53450467952968,0.9622130901072466,15.599879723363735,16,222,0.72,654.5,0.2870635528674382
911343,7,1.7142857142857142,52.31428571428571,8.1175,169.00072862755113,67.93665642050983,0.8623344625808439,6.444630208104184,12,35,0.58,840.61,0.20266703010231082
911401,2,2.5,114.3211267605634,2.7666666666666666,196.07221987027015,57.01239593619174,0.7228915662650602,41.32088919056508,16,64,0.66,870.88,0.24547604913793594
911429,7,1.5714285714285714,74.82857142857142,8.115833333333333,324.4446199657207,150.30382296103028,0.8625115514939933,9.220072462705176,16,33,0.72,695.53,0.1087854487631809
