SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity,unclean_mean_awc,unclean_total_hrs,clean_mean_awc,clean_sd_awc,clean_total_hrs,clusterPerHr,avgClusterDensityPerHr,CDI_18C18C_WG,ACC_1818,RT18A18C_NO1RT,gini
12612,12,1.25,103,496,268,1014.136407714686,10.312222222222221,1051.2800359308333,686.9273427680865,9.895555555555555,1.2126656186840332,27.08286548394341,143,0.68,578.19,0.6507500190694109
12683,16,1.1875,213,654,368.5,1756.7878091552277,13.780833333333334,1887.0204081632653,990.2393265314824,12.25,1.3061224489795917,30.081632653061224,265,0.74,727.27,0.5683096733211138
12717,2,2.5,186,742,464,1426.3192831065383,6.695555555555556,1493.892019632794,558.2712954162289,6.112222222222222,0.32721323395746227,75.91347027813126,7,0.72,775.26,0.6543032923382018
12737,5,1.6,101,830,451,1033.6193009403214,7.414722222222222,1155.726286462071,331.5228660504215,6.580277777777778,0.759846342184136,68.53814006500907,126,0.59,670.33,0.8187674044138381
12828,10,1.3,230,1126,424.9,1624.2056476659181,11.627222222222223,1686.0793410573847,759.5310884743128,11.196388888888889,0.8931451112709952,37.94973577790458,89,0.77,770.88,0.5608680652648894
12830,12,1.25,212,738,341.0833333333333,1600.861397955477,10.706111111111111,1714.18487394958,936.9952418947139,9.916666666666666,1.2100840336134455,34.39495798319328,11,0.59,935.92,0.6601240021141082
12840,14,1.2142857142857142,69,249,137.57142857142858,603.959311875054,9.639722222222222,634.0455277634259,287.51172571608697,9.139722222222222,1.531775218065222,15.05203607139601,69,0.61,944.44,0.7048340824196977
12878,8,1.375,186,961,466.625,1818.3362380028964,11.31638888888889,1904.397111726494,819.5573454153422,10.733055555555556,0.7453609047853206,43.475504024431274,186,0.78,512.32,0.6546476126349388
12959,11,1.2727272727272727,230,1017,479.90909090909093,2101.279799247177,9.9625,2227.4693369674706,1272.6611673849789,9.376111111111111,1.173194288084375,51.184236750391875,371,0.76,470.44,0.6149965042454683
12971,15,1.2,89,1115,294,958.2762321472799,10.094166666666666,998.0022583166855,839.088954001465,9.594166666666666,1.56345001302875,30.643620255363505,198,0.58,829.67,0.735591786014879
13044,7,1.4285714285714286,120,646,256.2857142857143,976.6432301543308,9.52138888888889,1077.289174299964,588.3215725496327,8.52138888888889,0.8214623333441992,30.0755801228468,98,0.59,743.91,0.6818400303150974
13061,17,1.1764705882352942,367,1231,546.4705882352941,2968.7484858762537,11.466111111111111,3057.8912966966664,1294.9825785653948,11.049444444444445,1.538538890844185,49.456838394264636,4,0.75,535.68,0.5586740375417818
13069,11,1.2727272727272727,132,560,279.09090909090907,1337.3747726049862,10.841388888888888,1406.2439024390244,929.8692698300977,10.25,1.0731707317073171,27.228381374722836,43,0.58,933.25,0.6190185316408849
13079,11,1.2727272727272727,183,854,323.1818181818182,1746.2656529516996,9.937777777777777,1783.794013074894,921.2663673970573,9.687777777777777,1.1354513132239936,33.359747260423944,93,0.71,886.94,0.6699905227100745
13081,10,1.3,194,559,353,1674.3508781086089,10.644722222222223,1769.8351784876177,691.9079626567964,10.061388888888889,0.9938985671295657,35.08461941967367,306,0.7,759.35,0.6730489413873614
13128,10,1.3,256,833,405.5,2234.7840744361665,8.239722222222222,2341.338053097345,1153.3380329208858,7.847222222222222,1.2743362831858407,51.67433628318584,39,0.7,846.28,0.5273995998133172
13131,11,1.2727272727272727,48,238,103.27272727272727,422.39131591550046,10.440555555555555,436.95616028376656,248.24416133388442,10.023888888888889,1.0973784847309205,10.302660815325005,12,0.41,966.5,0.723438276066841
13142,14,1.2142857142857142,170,538,318.2857142857143,1632.8364657593434,11.5725,1763.2595604911237,668.2508741253024,10.655833333333334,1.3138343630249472,29.86962204917941,60,0.7,694.39,0.5776543978516425
13151,11,1.2727272727272727,225,1224,559.3636363636364,2288.001882519046,9.44361111111111,2341.952442819591,1719.7998892577325,9.19361111111111,1.1964830649303564,60.84264709517754,18,0.76,483.29,0.7201739211163874
13191,14,1.2142857142857142,180,614,352.57142857142856,1632.3443376514836,11.965,1666.154502774221,572.8233607004017,11.715,1.195049082373026,30.095725870373755,15,0.61,804.95,0.5481955945992262
13293,17,1.1764705882352942,323,1210,483.2352941176471,2395.4745443117536,9.280833333333334,2405.8687828734887,1631.663740982303,9.030833333333334,1.8824397896096705,53.509490905340634,250,0.59,572.52,0.7145318050236754
13304,9,1.3333333333333333,147,864,381.77777777777777,1319.6916273232534,9.296111111111111,1450.9098288574714,726.3137313610671,8.212777777777777,1.0958533450585133,46.485828316309274,23,0.74,509.75,0.7450758607103981
13326,12,1.25,63,411,163.58333333333334,665.402412197527,10.985833333333334,691.4553065747353,432.96574152389167,10.1525,1.1819748830337355,16.112615940244606,10,0.69,568.65,0.7411353580795311
13503,5,1.6,285,680,473,2081.338376491126,9.547222222222222,2269.6,1027.3373756139379,8.75,0.5714285714285714,54.05714285714286,112,0.64,750.63,0.6665339979717488
13604,4,1.75,166,327,222,647.5499734654165,9.421666666666667,701.1428571428572,303.37760249723397,8.166666666666666,0.489795918367347,27.183673469387756,50,0.37,863.64,0.7085783077781497
13628,3,2,217,1237,568.6666666666666,1540.4981186167354,7.751388888888889,1835.064935064935,1130.4598130357792,6.416666666666667,0.4675324675324675,88.62337662337661,12,0.71,499.94,0.7922298867291846
13648,14,1.2142857142857142,180,1324,423.5,1740.439504925486,9.8975,1780.2539518009846,1103.9575420030676,9.6475,1.4511531484840632,43.89738274164291,222,0.72,654.5,0.687787937199752
911343,9,1.3333333333333333,86,392,215.22222222222223,962.2558949841989,10.284166666666668,1008.9854823468773,728.3256431186825,9.700833333333334,0.9277553474787389,22.185951951436017,35,0.58,840.61,0.7196911447867781
911401,2,2.5,468,657,562.5,907.7794726519938,7.648333333333333,1240.9345794392525,824.2205733730677,5.35,0.3738317757009346,105.14018691588785,64,0.66,870.88,0.6752251517221406
911429,9,1.3333333333333333,175,659,314.44444444444446,1495.3319981512864,10.818333333333333,1576.3645468202305,786.1939067268069,9.985,0.9013520280420632,31.49168196739554,33,0.72,695.53,0.44534107699511305
