subject,prop,time
11035.0,0.923,16.55
11035.0,0.966,7
11035.0,0.862,17.5
11035.0,0.96,13.35
11035.0,0.979,10.35
11035.0,0.978,6.4
11035.0,0.956,13.2
11035.0,0.977,6
11035.0,0.767,15.35
11035.0,0.484,6.45
11035.0,0.937,6.55
11035.0,0.933,17.1
11035.0,0.642,5.5
11035.0,1.0,5.35
11035.0,0.666,5.55
11036.0,0.976,11.35
11036.0,0.986,18.5
11036.0,0.936,9.15
11036.0,0.934,11.4
11036.0,0.881,17.1
11036.0,0.948,8.15
11036.0,1.0,10.35
11036.0,0.938,11.45
11036.0,0.992,16.55
11036.0,0.949,17
11036.0,0.967,17.05
11036.0,0.961,11
11036.0,0.982,10.55
11036.0,0.891,17.55
11036.0,0.994,17.4
11036.0,0.979,14.05
11036.0,0.932,15.15
11036.0,0.983,14.15
11036.0,0.983,16.05
11036.0,0.994,10.3
11036.0,0.994,8.2
11036.0,0.976,18
11036.0,0.958,19
11036.0,0.962,11.55
11036.0,0.987,17.35
11036.0,0.98,17.25
11036.0,0.993,11.25
11036.0,0.986,11.5
11036.0,0.986,15.1
11036.0,0.972,18.25
11036.0,0.957,18.2
11036.0,0.97,15.2
11036.0,0.992,15.05
11036.0,1.0,11.3
11036.0,0.969,14.4
11036.0,0.96,16.15
11036.0,0.983,14.45
11036.0,0.983,11.05
11036.0,0.982,8.5
11036.0,0.991,17.2
11036.0,0.991,8.45
11036.0,0.955,14.1
11036.0,0.916,8.1
11036.0,1.0,14.3
11036.0,0.969,17.15
11036.0,0.989,17.3
11036.0,0.978,8.3
11036.0,0.978,8.05
11036.0,0.989,14.35
11036.0,0.988,9.2
11036.0,0.898,13.55
11036.0,0.987,16
11036.0,0.924,14.55
11036.0,0.972,9.25
11036.0,1.0,15
11036.0,0.985,15.3
11036.0,1.0,8.25
11036.0,0.957,16.4
11036.0,0.94,11.2
11036.0,0.952,17.45
11036.0,0.916,15.25
11036.0,0.981,14.25
11036.0,1.0,16.5
11036.0,0.981,18.1
11036.0,0.981,16.1
11036.0,0.961,14
